"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"120102";"GM0964";"2004JJ00";"7373";"91";"40";"267";"236";"31";"222";"205";"17";"0";"96";"1.3";"96";"1.3";"7469"
"120115";"GM0964";"2005JJ00";"7469";"93";"59";"269";"256";"13";"229";"217";"12";"0";"74";"0.99";"74";"0.99";"7543"
"120128";"GM0964";"2006JJ00";"7543";"96";"42";"275";"249";"26";"250";"239";"11";"3";"82";"1.09";"82";"1.09";"7625"
"120141";"GM0964";"2007JJ00";"7625";"83";"48";"245";"212";"33";"253";"242";"11";"0";"27";"0.35";"27";"0.35";"7652"
"120154";"GM0964";"2008JJ00";"7652";"74";"52";"287";"244";"43";"269";"266";"3";"1";"41";"0.54";"41";"0.54";"7693"
"120167";"GM0964";"2009JJ00";"7693";"95";"42";"239";"205";"34";"260";"248";"12";"5";"37";"0.48";"37";"0.48";"7730"
"120180";"GM0964";"2010JJ00";;;;;;;;;;;;;;;
"120193";"GM0964";"2011JJ00";;;;;;;;;;;;;;;
"120206";"GM0964";"2012JJ00";;;;;;;;;;;;;;;
"120219";"GM0964";"2013JJ00";;;;;;;;;;;;;;;
"120232";"GM0964";"2014JJ00";;;;;;;;;;;;;;;
"120245";"GM0964";"2015JJ00";;;;;;;;;;;;;;;
"120258";"GM0964";"2016JJ00";;;;;;;;;;;;;;;
"120271";"GM0964";"2017JJ00";;;;;;;;;;;;;;;
"120284";"GM0964";"2018JJ00";;;;;;;;;;;;;;;
"120297";"GM0964";"2019JJ00";;;;;;;;;;;;;;;
"120310";"GM0964";"2020JJ00";;;;;;;;;;;;;;;
"120332";"GM0965";"2002JJ00";"11418";"103";"118";"518";"475";"43";"469";"376";"93";"-4";"30";"0.26";"30";"0.26";"11448"
"120345";"GM0965";"2003JJ00";"11448";"113";"124";"448";"382";"66";"451";"378";"73";"2";"-12";"-0.1";"-12";"-0.1";"11436"
"120358";"GM0965";"2004JJ00";"11436";"98";"129";"452";"404";"48";"436";"353";"83";"9";"-6";"-0.05";"-6";"-0.05";"11430"
"120371";"GM0965";"2005JJ00";"11430";"66";"123";"389";"339";"50";"450";"375";"75";"5";"-113";"-0.99";"-113";"-0.99";"11317"
"120384";"GM0965";"2006JJ00";"11317";"90";"117";"494";"438";"56";"470";"392";"78";"5";"2";"0.02";"2";"0.02";"11319"
"120397";"GM0965";"2007JJ00";"11319";"81";"118";"427";"387";"40";"494";"422";"72";"-9";"-113";"-1";"-113";"-1";"11206"
"120410";"GM0965";"2008JJ00";"11206";"87";"107";"411";"361";"50";"511";"439";"72";"4";"-116";"-1.04";"-116";"-1.04";"11090"
"120423";"GM0965";"2009JJ00";"11090";"85";"117";"381";"334";"47";"444";"393";"51";"1";"-94";"-0.85";"-94";"-0.85";"10996"
"120436";"GM0965";"2010JJ00";"10996";"75";"115";"374";"330";"44";"377";"329";"48";"0";"-43";"-0.39";"-43";"-0.39";"10953"
"120449";"GM0965";"2011JJ00";"10953";"90";"88";"439";"360";"79";"481";"425";"56";"1";"-39";"-0.36";"-39";"-0.36";"10914"
"120462";"GM0965";"2012JJ00";"10914";"69";"104";"541";"493";"48";"496";"438";"58";"-4";"6";"0.05";"6";"0.05";"10920"
"120475";"GM0965";"2013JJ00";"10920";"74";"128";"407";"369";"38";"430";"369";"61";"1";"-76";"-0.7";"-76";"-0.7";"10844"
"120488";"GM0965";"2014JJ00";"10844";"78";"111";"451";"404";"47";"417";"376";"41";"-1";"0";"0";"0";"0";"10844"
"120501";"GM0965";"2015JJ00";"10844";"80";"117";"454";"414";"40";"520";"469";"51";"0";"-103";"-0.95";"-103";"-0.95";"10741"
"120514";"GM0965";"2016JJ00";"10741";"79";"109";"471";"429";"42";"611";"583";"28";"0";"-170";"-1.58";"-170";"-1.58";"10571"
"120527";"GM0965";"2017JJ00";"10571";"78";"95";"545";"506";"39";"538";"494";"44";"0";"-10";"-0.09";"-10";"-0.09";"10561"
"120540";"GM0965";"2018JJ00";"10561";"94";"101";"545";"491";"54";"582";"527";"55";"-1";"-45";"-0.43";"-45";"-0.43";"10516"
"120553";"GM0965";"2019JJ00";"10516";"81";"79";"573";"516";"57";"536";"492";"44";"0";"39";"0.37";"39";"0.37";"10555"
"120566";"GM0965";"2020JJ00";"10555";"76";"92";"556";"498";"58";"618";"562";"56";"0";"-78";"-0.74";"-78";"-0.74";"10477"
"120588";"GM1702";"2002JJ00";"11748";"156";"70";"407";"335";"72";"441";"351";"90";"-1";"51";"0.43";"51";"0.43";"11799"
"120601";"GM1702";"2003JJ00";"11799";"141";"76";"401";"360";"41";"418";"376";"42";"-4";"44";"0.37";"44";"0.37";"11843"
"120614";"GM1702";"2004JJ00";"11843";"123";"61";"342";"320";"22";"577";"509";"68";"1";"-172";"-1.45";"-172";"-1.45";"11671"
"120627";"GM1702";"2005JJ00";"11671";"111";"73";"338";"326";"12";"388";"351";"37";"17";"5";"0.04";"5";"0.04";"11676"
"120640";"GM1702";"2006JJ00";"11676";"110";"74";"438";"398";"40";"385";"354";"31";"1";"90";"0.77";"90";"0.77";"11766"
"120653";"GM1702";"2007JJ00";"11766";"120";"78";"378";"327";"51";"400";"347";"53";"3";"23";"0.2";"23";"0.2";"11789"
"120666";"GM1702";"2008JJ00";"11789";"103";"94";"374";"347";"27";"386";"354";"32";"0";"-3";"-0.03";"-3";"-0.03";"11786"
"120679";"GM1702";"2009JJ00";"11786";"91";"76";"424";"344";"80";"380";"309";"71";"-3";"56";"0.48";"56";"0.48";"11842"
"120692";"GM1702";"2010JJ00";"11842";"99";"80";"331";"302";"29";"398";"381";"17";"2";"-46";"-0.39";"-46";"-0.39";"11796"
"120705";"GM1702";"2011JJ00";"11796";"87";"90";"371";"348";"23";"361";"336";"25";"0";"7";"0.06";"7";"0.06";"11803"
"120718";"GM1702";"2012JJ00";"11803";"81";"91";"379";"345";"34";"412";"385";"27";"0";"-43";"-0.36";"-43";"-0.36";"11760"
"120731";"GM1702";"2013JJ00";"11760";"110";"88";"391";"345";"46";"486";"443";"43";"4";"-69";"-0.59";"-69";"-0.59";"11691"
"120744";"GM1702";"2014JJ00";"11691";"85";"88";"401";"372";"29";"477";"433";"44";"0";"-79";"-0.68";"-79";"-0.68";"11612"
"120757";"GM1702";"2015JJ00";"11612";"99";"92";"410";"378";"32";"436";"416";"20";"1";"-18";"-0.16";"-18";"-0.16";"11594"
"120770";"GM1702";"2016JJ00";"11594";"96";"82";"451";"412";"39";"461";"434";"27";"-4";"0";"0";"0";"0";"11594"
"120783";"GM1702";"2017JJ00";"11594";"110";"128";"514";"470";"44";"513";"490";"23";"0";"-17";"-0.15";"-17";"-0.15";"11577"
"120796";"GM1702";"2018JJ00";"11577";"105";"100";"497";"446";"51";"472";"439";"33";"-1";"29";"0.25";"29";"0.25";"11606"
"120809";"GM1702";"2019JJ00";"11606";"124";"105";"557";"484";"73";"517";"480";"37";"-1";"58";"0.5";"58";"0.5";"11664"
"120822";"GM1702";"2020JJ00";"11664";"90";"115";"559";"537";"22";"508";"466";"42";"1";"27";"0.23";"27";"0.23";"11691"
"120844";"GM0845";"2002JJ00";"27975";"335";"216";"866";"799";"67";"997";"926";"71";"-2";"-14";"-0.05";"-14";"-0.05";"27961"
"120857";"GM0845";"2003JJ00";"27961";"325";"214";"834";"766";"68";"1017";"946";"71";"-3";"-75";"-0.27";"-75";"-0.27";"27886"
"120870";"GM0845";"2004JJ00";"27886";"278";"200";"967";"926";"41";"1034";"944";"90";"5";"16";"0.06";"16";"0.06";"27902"
"120883";"GM0845";"2005JJ00";"27902";"277";"220";"1039";"990";"49";"978";"910";"68";"-7";"111";"0.4";"111";"0.4";"28013"
"120896";"GM0845";"2006JJ00";"28013";"289";"234";"937";"868";"69";"1084";"1007";"77";"0";"-92";"-0.33";"-92";"-0.33";"27921"
"120909";"GM0845";"2007JJ00";"27921";"270";"226";"1087";"980";"107";"953";"901";"52";"1";"179";"0.64";"179";"0.64";"28100"
